ID_Barco;ID_Puerto_Origen;ID_Puerto_Destino;Tiempo_Viaje_hrs;Costo_Viaje_libras
1;1;1;0;0
2;1;1;0;0
3;1;1;0;0
4;1;1;0;0
5;1;1;0;0
6;1;1;0;0
7;1;1;0;0
8;1;1;0;0
9;1;1;0;0
10;1;1;0;0
11;1;1;0;0
12;1;1;0;0
13;1;1;0;0
14;1;1;0;0
15;1;1;0;0
16;1;1;0;0
17;1;1;0;0
1;1;2;71;48031
2;1;2;71;48031
3;1;2;66;38871
4;1;2;66;38871
5;1;2;80;53272
6;1;2;80;53272
7;1;2;80;53272
8;1;2;72;64637
9;1;2;72;64637
10;1;2;72;64637
11;1;2;72;64637
12;1;2;73;18065
13;1;2;73;18065
14;1;2;73;18065
15;1;2;73;18065
16;1;2;76;26303
17;1;2;76;26303
1;1;3;19;12930
2;1;3;19;12930
3;1;3;18;10464
4;1;3;18;10464
5;1;3;21;14341
6;1;3;21;14341
7;1;3;21;14341
8;1;3;19;17401
9;1;3;19;17401
10;1;3;19;17401
11;1;3;19;17401
12;1;3;20;4863
13;1;3;20;4863
14;1;3;20;4863
15;1;3;20;4863
16;1;3;21;7081
17;1;3;21;7081
1;1;4;134;90788
2;1;4;134;90788
3;1;4;125;73474
4;1;4;125;73474
5;1;4;150;100694
6;1;4;150;100694
7;1;4;150;100694
8;1;4;137;122177
9;1;4;137;122177
10;1;4;137;122177
11;1;4;137;122177
12;1;4;139;34147
13;1;4;139;34147
14;1;4;139;34147
15;1;4;139;34147
16;1;4;144;49718
17;1;4;144;49718
1;1;5;66;45000
2;1;5;66;45000
3;1;5;62;36418
4;1;5;62;36418
5;1;5;75;49910
6;1;5;75;49910
7;1;5;75;49910
8;1;5;68;60558
9;1;5;68;60558
10;1;5;68;60558
11;1;5;68;60558
12;1;5;69;16925
13;1;5;69;16925
14;1;5;69;16925
15;1;5;69;16925
16;1;5;72;24643
17;1;5;72;24643
1;1;6;23;15911
2;1;6;23;15911
3;1;6;22;12877
4;1;6;22;12877
5;1;6;26;17647
6;1;6;26;17647
7;1;6;26;17647
8;1;6;24;21412
9;1;6;24;21412
10;1;6;24;21412
11;1;6;24;21412
12;1;6;24;5984
13;1;6;24;5984
14;1;6;24;5984
15;1;6;24;5984
16;1;6;25;8713
17;1;6;25;8713
1;1;7;21;14445
2;1;7;21;14445
3;1;7;20;11690
4;1;7;20;11690
5;1;7;24;16021
6;1;7;24;16021
7;1;7;24;16021
8;1;7;22;19439
9;1;7;22;19439
10;1;7;22;19439
11;1;7;22;19439
12;1;7;22;5433
13;1;7;22;5433
14;1;7;22;5433
15;1;7;22;5433
16;1;7;23;7910
17;1;7;23;7910
1;1;8;8;5106
2;1;8;8;5106
3;1;8;7;4132
4;1;8;7;4132
5;1;8;8;5663
6;1;8;8;5663
7;1;8;8;5663
8;1;8;8;6871
9;1;8;8;6871
10;1;8;8;6871
11;1;8;8;6871
12;1;8;8;1920
13;1;8;8;1920
14;1;8;8;1920
15;1;8;8;1920
16;1;8;8;2796
17;1;8;8;2796
1;1;9;52;35625
2;1;9;52;35625
3;1;9;49;28831
4;1;9;49;28831
5;1;9;59;39512
6;1;9;59;39512
7;1;9;59;39512
8;1;9;54;47942
9;1;9;54;47942
10;1;9;54;47942
11;1;9;54;47942
12;1;9;55;13399
13;1;9;55;13399
14;1;9;55;13399
15;1;9;55;13399
16;1;9;57;19509
17;1;9;57;19509
1;1;10;116;78762
2;1;10;116;78762
3;1;10;108;63741
4;1;10;108;63741
5;1;10;131;87356
6;1;10;131;87356
7;1;10;131;87356
8;1;10;119;105993
9;1;10;119;105993
10;1;10;119;105993
11;1;10;119;105993
12;1;10;121;29623
13;1;10;121;29623
14;1;10;121;29623
15;1;10;121;29623
16;1;10;125;43132
17;1;10;125;43132
1;1;11;110;74439
2;1;11;110;74439
3;1;11;102;60243
4;1;11;102;60243
5;1;11;123;82562
6;1;11;123;82562
7;1;11;123;82562
8;1;11;112;100176
9;1;11;112;100176
10;1;11;112;100176
11;1;11;112;100176
12;1;11;114;27998
13;1;11;114;27998
14;1;11;114;27998
15;1;11;114;27998
16;1;11;118;40765
17;1;11;118;40765
1;1;12;63;42752
2;1;12;63;42752
3;1;12;59;34599
4;1;12;59;34599
5;1;12;71;47417
6;1;12;71;47417
7;1;12;71;47417
8;1;12;64;57534
9;1;12;64;57534
10;1;12;64;57534
11;1;12;64;57534
12;1;12;65;16080
13;1;12;65;16080
14;1;12;65;16080
15;1;12;65;16080
16;1;12;68;23412
17;1;12;68;23412
1;1;13;58;39524
2;1;13;58;39524
3;1;13;54;31987
4;1;13;54;31987
5;1;13;66;43837
6;1;13;66;43837
7;1;13;66;43837
8;1;13;60;53190
9;1;13;60;53190
10;1;13;60;53190
11;1;13;60;53190
12;1;13;60;14866
13;1;13;60;14866
14;1;13;60;14866
15;1;13;60;14866
16;1;13;63;21645
17;1;13;63;21645
1;1;14;24;16035
2;1;14;24;16035
3;1;14;22;12977
4;1;14;22;12977
5;1;14;27;17784
6;1;14;27;17784
7;1;14;27;17784
8;1;14;24;21578
9;1;14;24;21578
10;1;14;24;21578
11;1;14;24;21578
12;1;14;25;6031
13;1;14;25;6031
14;1;14;25;6031
15;1;14;25;6031
16;1;14;26;8781
17;1;14;26;8781
1;1;15;28;18784
2;1;15;28;18784
3;1;15;26;15202
4;1;15;26;15202
5;1;15;31;20834
6;1;15;31;20834
7;1;15;31;20834
8;1;15;28;25279
9;1;15;28;25279
10;1;15;28;25279
11;1;15;28;25279
12;1;15;29;7065
13;1;15;29;7065
14;1;15;29;7065
15;1;15;29;7065
16;1;15;30;10287
17;1;15;30;10287
1;1;16;21;14424
2;1;16;21;14424
3;1;16;20;11673
4;1;16;20;11673
5;1;16;24;15998
6;1;16;24;15998
7;1;16;24;15998
8;1;16;22;19411
9;1;16;22;19411
10;1;16;22;19411
11;1;16;22;19411
12;1;16;22;5425
13;1;16;22;5425
14;1;16;22;5425
15;1;16;22;5425
16;1;16;23;7899
17;1;16;23;7899
1;1;17;32;22026
2;1;17;32;22026
3;1;17;30;17826
4;1;17;30;17826
5;1;17;37;24430
6;1;17;37;24430
7;1;17;37;24430
8;1;17;33;29642
9;1;17;33;29642
10;1;17;33;29642
11;1;17;33;29642
12;1;17;34;8284
13;1;17;34;8284
14;1;17;34;8284
15;1;17;34;8284
16;1;17;35;12062
17;1;17;35;12062
1;1;18;67;45672
2;1;18;67;45672
3;1;18;63;36963
4;1;18;63;36963
5;1;18;76;50656
6;1;18;76;50656
7;1;18;76;50656
8;1;18;69;61463
9;1;18;69;61463
10;1;18;69;61463
11;1;18;69;61463
12;1;18;70;17178
13;1;18;70;17178
14;1;18;70;17178
15;1;18;70;17178
16;1;18;73;25011
17;1;18;73;25011
1;1;19;28;18710
2;1;19;28;18710
3;1;19;26;15142
4;1;19;26;15142
5;1;19;31;20752
6;1;19;31;20752
7;1;19;31;20752
8;1;19;28;25179
9;1;19;28;25179
10;1;19;28;25179
11;1;19;28;25179
12;1;19;29;7037
13;1;19;29;7037
14;1;19;29;7037
15;1;19;29;7037
16;1;19;30;10246
17;1;19;30;10246
1;1;20;95;64634
2;1;20;95;64634
3;1;20;89;52308
4;1;20;89;52308
5;1;20;107;71686
6;1;20;107;71686
7;1;20;107;71686
8;1;20;97;86980
9;1;20;97;86980
10;1;20;97;86980
11;1;20;97;86980
12;1;20;99;24310
13;1;20;99;24310
14;1;20;99;24310
15;1;20;99;24310
16;1;20;103;35395
17;1;20;103;35395
1;1;21;97;65901
2;1;21;97;65901
3;1;21;90;53333
4;1;21;90;53333
5;1;21;109;73091
6;1;21;109;73091
7;1;21;109;73091
8;1;21;99;88685
9;1;21;99;88685
10;1;21;99;88685
11;1;21;99;88685
12;1;21;101;24786
13;1;21;101;24786
14;1;21;101;24786
15;1;21;101;24786
16;1;21;105;36089
17;1;21;105;36089
1;1;22;21;14128
2;1;22;21;14128
3;1;22;19;11434
4;1;22;19;11434
5;1;22;23;15670
6;1;22;23;15670
7;1;22;23;15670
8;1;22;21;19013
9;1;22;21;19013
10;1;22;21;19013
11;1;22;21;19013
12;1;22;22;5314
13;1;22;22;5314
14;1;22;22;5314
15;1;22;22;5314
16;1;22;22;7737
17;1;22;22;7737
1;1;23;19;12941
2;1;23;19;12941
3;1;23;18;10473
4;1;23;18;10473
5;1;23;21;14353
6;1;23;21;14353
7;1;23;21;14353
