ID_Barco;Puerto_Origen;Puerto_Destino;Tiempo_Viaje_hrs;Costo_Viaje_libras
1;1;1;0;0
2;1;1;0;0
3;1;1;0;0
4;1;1;0;0
1;1;2;66;38871
2;1;2;71;24635
3;1;2;76;26303
4;1;2;76;26303
1;1;3;18;10464
2;1;3;19;6632
3;1;3;21;7081
4;1;3;21;7081
1;1;4;125;73474
2;1;4;134;46564
3;1;4;144;49718
4;1;4;144;49718
1;1;5;62;36418
2;1;5;66;23080
3;1;5;72;24643
4;1;5;72;24643
1;1;6;22;12877
2;1;6;23;8161
3;1;6;25;8713
4;1;6;25;8713
1;1;7;20;11690
2;1;7;21;7409
3;1;7;23;7910
4;1;7;23;7910
1;1;8;7;4132
2;1;8;8;2619
3;1;8;8;2796
4;1;8;8;2796
1;1;9;49;28831
2;1;9;52;18272
3;1;9;57;19509
4;1;9;57;19509
1;1;10;108;63741
2;1;10;116;40396
3;1;10;125;43132
4;1;10;125;43132
1;1;11;102;60243
2;1;11;110;38179
3;1;11;118;40765
4;1;11;118;40765
1;1;12;59;34599
2;1;12;63;21927
3;1;12;68;23412
4;1;12;68;23412
1;1;13;54;31987
2;1;13;58;20272
3;1;13;63;21645
4;1;13;63;21645
1;1;14;22;12977
2;1;14;24;8224
3;1;14;26;8781
4;1;14;26;8781
1;1;15;26;15202
2;1;15;28;9634
3;1;15;30;10287
4;1;15;30;10287
1;1;16;20;11673
2;1;16;21;7398
3;1;16;23;7899
4;1;16;23;7899
1;1;17;30;17826
2;1;17;32;11297
3;1;17;35;12062
4;1;17;35;12062
1;1;18;63;36963
2;1;18;67;23425
3;1;18;73;25011
4;1;18;73;25011
1;1;19;26;15142
2;1;19;28;9596
3;1;19;30;10246
4;1;19;30;10246
1;1;20;89;52308
2;1;20;95;33150
3;1;20;103;35395
4;1;20;103;35395
1;1;21;90;53333
2;1;21;97;33800
3;1;21;105;36089
4;1;21;105;36089
1;1;22;19;11434
2;1;22;21;7246
3;1;22;22;7737
4;1;22;22;7737
1;1;23;18;10473
2;1;23;19;6637
3;1;23;21;7087
4;1;23;21;7087
1;1;24;19;11434
2;1;24;21;7246
3;1;24;22;7737
4;1;24;22;7737
1;1;25;91;53817
2;1;25;98;34106
3;1;25;106;36416
4;1;25;106;36416
1;1;26;25;14629
2;1;26;27;9271
3;1;26;29;9899
4;1;26;29;9899
1;1;27;35;20441
2;1;27;37;12955
3;1;27;40;13832
4;1;27;40;13832
1;1;28;41;24293
2;1;28;44;15395
3;1;28;48;16438
4;1;28;48;16438
1;1;29;135;79458
2;1;29;145;50356
3;1;29;156;53766
4;1;29;156;53766
1;1;30;65;38333
2;1;30;70;24293
3;1;30;75;25939
4;1;30;75;25939
1;1;31;74;43483
2;1;31;79;27558
3;1;31;85;29424
4;1;31;85;29424
1;1;32;7;4142
2;1;32;8;2625
3;1;32;8;2803
4;1;32;8;2803
1;1;33;105;62186
2;1;33;113;39410
3;1;33;122;42079
4;1;33;122;42079
1;1;34;168;98988
2;1;34;180;62734
3;1;34;195;66982
4;1;34;195;66982
1;1;35;204;120151
2;1;35;219;76146
3;1;35;236;81302
4;1;35;236;81302
1;1;36;165;97379
2;1;36;177;61714
3;1;36;191;65893
4;1;36;191;65893
1;1;37;220;129913
2;1;37;237;82332
3;1;37;255;87908
4;1;37;255;87908
1;1;38;215;126739
2;1;38;231;80321
3;1;38;249;85760
4;1;38;249;85760
1;1;39;166;98151
2;1;39;179;62203
3;1;39;193;66415
4;1;39;193;66415
1;2;1;66;38871
2;2;1;71;24635
3;2;1;76;26303
4;2;1;76;26303
1;2;2;0;0
2;2;2;0;0
3;2;2;0;0
4;2;2;0;0
1;2;3;51;30385
2;2;3;55;19256
3;2;3;60;20560
4;2;3;60;20560
1;2;4;76;44679
2;2;4;81;28315
3;2;4;88;30233
4;2;4;88;30233
1;2;5;47;27899
2;2;5;51;17681
3;2;5;55;18878
4;2;5;55;18878
1;2;6;50;29744
2;2;6;54;18850
3;2;6;58;20126
4;2;6;58;20126
1;2;7;47;27768
2;2;7;51;17598
3;2;7;55;18789
4;2;7;55;18789
1;2;8;69;40512
2;2;8;74;25674
3;2;8;80;27413
4;2;8;80;27413
1;2;9;111;65211
2;2;9;119;41327
3;2;9;128;44126
4;2;9;128;44126
1;2;10;59;34946
2;2;10;64;22147
3;2;10;69;23647
4;2;10;69;23647
1;2;11;53;31448
2;2;11;57;19930
3;2;11;62;21280
4;2;11;62;21280
1;2;12;13;7549
2;2;12;14;4784
3;2;12;15;5108
4;2;12;15;5108
1;2;13;17;9848
2;2;13;18;6241
3;2;13;19;6664
4;2;13;19;6664
1;2;14;45;26299
2;2;14;48;16667
3;2;14;52;17796
4;2;14;52;17796
1;2;15;61;35991
2;2;15;66;22809
3;2;15;71;24354
4;2;15;71;24354
1;2;16;48;28540
2;2;16;52;18087
3;2;16;56;19312
4;2;16;56;19312
1;2;17;92;54206
2;2;17;99;34353
3;2;17;107;36679
4;2;17;107;36679
1;2;18;114;67088
2;2;18;122;42517
3;2;18;132;45396
4;2;18;132;45396
1;2;19;78;45796
2;2;19;83;29023
3;2;19;90;30988
4;2;19;90;30988
1;2;20;40;23512
2;2;20;43;14901
3;2;20;46;15910
4;2;20;46;15910
1;2;21;42;24538
2;2;21;45;15551
3;2;21;48;16604
4;2;21;48;16604
1;2;22;81;47813
2;2;22;87;30302
3;2;22;94;32354
4;2;22;94;32354
1;2;23;79;46853
2;2;23;85;29693
3;2;23;92;31704
4;2;23;92;31704
1;2;24;81;47813
2;2;24;87;30302
3;2;24;94;32354
4;2;24;94;32354
1;2;25;42;25021
2;2;25;46;15857
3;2;25;49;16931
4;2;25;49;16931
1;2;26;47;27624
2;2;26;50;17507
3;2;26;54;18693
4;2;26;54;18693
1;2;27;96;56821
2;2;27;103;36010
3;2;27;112;38449
4;2;27;112;38449
1;2;28;29;17120
2;2;28;31;10850
3;2;28;34;11584
4;2;28;34;11584
1;2;29;86;50662
2;2;29;92;32107
3;2;29;100;34281
4;2;29;100;34281
1;2;30;3;1691
2;2;30;3;1072
3;2;30;3;1144
4;2;30;3;1144
1;2;31;25;14688
2;2;31;27;9308
3;2;31;29;9939
4;2;31;29;9939
1;2;32;61;36254
2;2;32;66;22976
3;2;32;71;24532
4;2;32;71;24532
1;2;33;57;33390
2;2;33;61;21161
3;2;33;66;22594
4;2;33;66;22594
1;2;34;119;70193
2;2;34;128;44485
3;2;34;138;47497
4;2;34;138;47497
1;2;35;155;91356
2;2;35;166;57897
3;2;35;180;61817
4;2;35;180;61817
1;2;36;116;68583
2;2;36;125;43465
3;2;36;135;46408
4;2;36;135;46408
1;2;37;171;101118
2;2;37;184;64083
3;2;37;199;68423
4;2;37;199;68423
1;2;38;166;97944
2;2;38;178;62072
3;2;38;193;66275
4;2;38;193;66275
1;2;39;118;69355
2;2;39;126;43954
3;2;39;136;46930
4;2;39;136;46930
1;3;1;18;10464
2;3;1;19;6632
3;3;1;21;7081
4;3;1;21;7081
1;3;2;51;30385
2;3;2;55;19256
3;3;2;60;20560
4;3;2;60;20560
1;3;3;0;0
2;3;3;0;0
3;3;3;0;0
4;3;3;0;0
1;3;4;110;64988
2;3;4;118;41186
3;3;4;128;43975
4;3;4;128;43975
1;3;5;47;27932
2;3;5;51;17702
3;3;5;55;18900
4;3;5;55;18900
1;3;6;7;4021
2;3;6;7;2548
3;3;6;8;2721
4;3;6;8;2721
1;3;7;5;2837
2;3;7;5;1798
3;3;7;6;1920
4;3;7;6;1920
1;3;8;21;12105
2;3;8;22;7672
3;3;8;24;8191
4;3;8;24;8191
1;3;9;62;36804
2;3;9;67;23324
3;3;9;72;24904
4;3;9;72;24904
1;3;10;94;55255
2;3;10;101;35018
3;3;10;109;37389
4;3;10;109;37389
1;3;11;88;51757
2;3;11;94;32801
3;3;11;102;35022
4;3;11;102;35022
1;3;12;44;26113
2;3;12;48;16549
3;3;12;51;17670
4;3;12;51;17670
1;3;13;40;23501
2;3;13;43;14893
3;3;13;46;15902
4;3;13;46;15902
1;3;14;7;4239
2;3;14;8;2687
3;3;14;8;2869
4;3;14;8;2869
1;3;15;19;11049
2;3;15;20;7003
3;3;15;22;7477
4;3;15;22;7477
1;3;16;5;2818
2;3;16;5;1786
3;3;16;6;1907
4;3;16;6;1907
1;3;17;44;25799
2;3;17;47;16350
3;3;17;51;17457
4;3;17;51;17457
1;3;18;68;40165
2;3;18;73;25455
